id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.000000,0.130000,0.000000,0.750000,0.050000
1,0,-8.993500,1.000000,0.130000,0.000000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.000000,0.247000,-0.000000,0.750000,0.100000
1,0,-8.981150,1.000000,0.247000,0.000000,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963536,-1.000001,0.352284,-0.000015,0.750000,0.150000
1,0,-8.963536,1.000001,0.352284,0.000015,0.750000,0.150000
2,1,-0.036464,-0.000001,-0.352284,-0.000014,0.750000,0.150000
0,0,-8.941187,-1.000005,0.446970,-0.000090,0.750000,0.200000
1,0,-8.941187,1.000005,0.446970,0.000090,0.750000,0.200000
2,1,-0.058813,0.000002,-0.446970,0.000064,0.750000,0.200000
0,0,-8.914584,-1.000018,0.532070,-0.000263,0.750000,0.250000
1,0,-8.914584,1.000018,0.532070,0.000263,0.750000,0.250000
2,1,-0.085416,-0.000004,-0.532070,-0.000124,0.750000,0.250000
0,0,-8.884158,-1.000046,0.608516,-0.000547,0.750000,0.300000
1,0,-8.884158,1.000046,0.608516,0.000548,0.750000,0.300000
2,1,-0.115842,0.000006,-0.608515,0.000199,0.750000,0.300000
0,0,-8.850300,-1.000093,0.677161,-0.000946,0.750000,0.350000
1,0,-8.850300,1.000093,0.677161,0.000945,0.750000,0.350000
2,1,-0.149700,-0.000007,-0.677161,-0.000273,0.750000,0.350000
0,0,-8.813361,-1.000165,0.738781,-0.001448,0.750000,0.400000
1,0,-8.813361,1.000166,0.738782,0.001450,0.750000,0.400000
2,1,-0.186639,0.000010,-0.738781,0.000352,0.750000,0.400000
0,0,-8.773657,-1.000268,0.794080,-0.002051,0.750000,0.450000
1,0,-8.773657,1.000268,0.794079,0.002049,0.750000,0.450000
2,1,-0.226343,-0.000011,-0.794079,-0.000428,0.750000,0.450000
0,0,-8.731473,-1.000405,0.843689,-0.002736,0.750000,0.500000
1,0,-8.731473,1.000405,0.843689,0.002739,0.750000,0.500000
2,1,-0.268527,0.000014,-0.843688,0.000507,0.750000,0.500000
0,0,-8.687063,-1.000580,0.888181,-0.003505,0.750000,0.550000
1,0,-8.687063,1.000580,0.888181,0.003501,0.750000,0.550000
2,1,-0.312936,-0.000015,-0.888179,-0.000582,0.750000,0.550000
0,0,-8.640660,-1.000797,0.928068,-0.004335,0.750000,0.600000
